rod_x,rod_y,ow_x,ow_y,arrow_x,arrow_y
452.42283255176847,147.45897313759068,475.37064159956515,59.531871735030755,454.09083508788615,136.63435186358365
452.42283255176847,148.13813296925085,475.33731453180286,59.6568046282701,454.0934445711254,136.73154824404082
452.3221263924581,148.06141308667998,475.3223793026404,59.644856444940146,454.10539275445535,136.7405093815383
452.30420411746314,148.1271280949948,475.29848293598053,59.623947124112696,454.1024057086229,136.7076518773809
452.3758932174429,148.08232240750743,475.3343274859704,59.62693416994519,454.10539275445535,136.7076518773809
452.2743336591382,148.04946490335,475.30445702764547,59.62992121577767,454.0934445711254,136.6986907398834
452.31017820912814,148.0882964991724,475.3462756693003,59.70161031575746,454.0904575252929,136.7046648315484
452.346022759118,148.06738717834497,475.307444073478,59.64784349077264,454.1352632127802,136.73154824404082
452.3191393466256,148.07037422417744,475.31341816514293,59.6329082616102,454.1352632127802,136.71362596904586
452.3131652549606,148.07037422417744,475.31043111931046,59.65381758243761,454.1352632127802,136.71362596904586
452.2773207049707,148.07037422417744,475.31341816514293,59.66277871993508,454.1352632127802,136.71362596904586
452.33108752995554,148.07037422417744,475.31939225680793,59.644856444940146,454.1352632127802,136.71362596904586
452.340048667453,148.07634831584244,475.29848293598053,59.66875281160006,454.1352632127802,136.71362596904586
452.31017820912814,148.03751672002005,475.3343274859704,59.64186939910766,454.1352632127802,136.71362596904586
452.3221263924581,148.0584260408475,475.28653475265054,59.620960078280206,454.1352632127802,136.71362596904586
452.28926888830074,148.0853094533399,475.3462756693003,59.66875281160006,454.1352632127802,136.71362596904586
452.3131652549606,148.0584260408475,475.307444073478,59.623947124112696,454.1352632127802,136.71362596904586
452.2743336591382,148.06141308667998,475.29250884431553,59.62693416994519,454.1352632127802,136.71362596904586
452.36693207994546,148.07634831584244,475.33731453180286,59.704597361589954,454.1352632127802,136.71362596904586
452.30719116329567,148.04349081168505,475.301469981813,59.62992121577767,454.1352632127802,136.71362596904586
452.3251134382906,148.0912835450049,475.3253663484729,59.66576576576757,454.1352632127802,136.71362596904586
452.30420411746314,148.0912835450049,475.34030157763533,59.644856444940146,454.1352632127802,136.71362596904586
452.31017820912814,148.06738717834497,475.28952179848307,59.63589530744268,454.1352632127802,136.71362596904586
